Essay_Number,Attribution,Background,Cause,Comparison,Condition,Contrast,Elaboration,Enablement,Evaluation,Explanation,Joint,Manner-Means,Summary,Temporal,Topic-Change,Topic-Comment,
2,20,4,0,0,0,5,59,4,11,3,4,0,6,1,6,0,
3,23,1,1,0,0,3,43,3,10,4,56,0,3,2,0,0,
4,9,0,0,0,1,2,41,0,6,1,6,0,1,0,2,0,
7,18,1,2,1,1,6,76,3,2,2,20,1,0,0,2,0,
8,9,7,0,0,3,4,28,0,2,0,6,0,2,2,0,0,
10,10,2,0,0,1,4,33,2,6,4,8,0,0,0,0,0,
11,14,5,0,0,3,8,21,0,18,2,20,0,1,2,4,0,
13,33,3,0,1,3,10,32,3,10,7,28,0,1,1,0,0,
15,16,2,0,1,2,2,26,3,2,5,4,0,1,0,0,0,
16,3,2,0,0,1,4,6,1,2,2,4,0,1,0,0,0,
17,14,0,0,0,0,9,33,0,25,2,8,0,1,2,0,2,
18,12,7,1,0,4,5,23,1,3,7,8,0,0,3,0,0,
19,13,1,0,0,0,0,28,1,2,2,4,0,0,1,0,0,
21,26,2,0,2,0,2,46,1,0,4,28,0,0,5,0,0,
22,14,4,1,0,0,14,67,2,8,4,2,0,6,0,10,0,
23,15,2,0,0,1,10,21,3,3,5,16,0,0,0,0,0,
25,36,3,2,0,1,16,26,6,15,9,24,0,1,0,0,0,
26,15,3,0,0,1,4,25,1,1,2,36,1,1,1,0,0,
28,28,5,1,1,5,14,52,4,7,4,18,0,4,3,0,0,
29,39,12,2,0,3,20,44,7,21,8,30,0,3,3,0,2,
30,23,3,1,0,0,11,25,4,12,5,20,1,1,2,0,4,
31,17,4,0,0,0,5,19,2,10,5,10,0,0,2,0,0,
34,12,6,0,0,0,4,19,3,13,4,8,0,2,0,0,0,
35,15,0,0,0,2,4,17,2,2,2,8,0,1,0,0,0,
36,10,3,0,2,0,5,27,1,7,8,20,0,2,2,0,0,
38,17,4,0,0,1,8,37,2,10,5,14,0,6,2,0,0,
