cEXT,cNEU,cAGR,cCON,cOPN,Article,Funct,Affect,CogMech,Inhib,Negemo,Sad,Bio,Body,Achiev,Health,Sexual,Adverbs,Prep,Relativ,Space,Time,Work,Certain,Assent,Anger,Insight,Posemo,Past,Verbs,Money,Percept,Friends,Social,Motion,Cause,Leisure,Incl,Home,Present,Humans,Anx,Relig,AuxVb,Negate,Ingest,Death,Quant,Tentat,Conj,Ipron,Pronoun,Swear,Hear,Family,See,Discrep,Numbers,Filler,Feel,Excl,Future,Nonflu,SheHe,Ppron,I,We,You,They
n,y,y,n,y,13,0,90,5,44,0,0,77,2,36,42,112,68,0,3,60,101,14,22,8,3,34,424,3,45,4,4,8,0,17,1,5,39,3,3,116,10,60,21,4,1,1,16,17,4,30,5,1,2,41,0,15,71,20,136,1,29,4,0,4,0,8,0,0
n,n,y,n,n,22,0,83,8,33,2,1,78,8,64,21,112,32,2,4,68,109,34,15,8,8,33,384,3,63,6,16,12,2,8,0,2,46,2,3,124,2,58,43,0,6,4,19,37,3,31,6,0,1,18,4,10,77,19,115,3,21,2,0,3,1,5,0,3
n,y,n,y,y,38,0,97,20,53,3,3,90,0,23,13,116,65,3,5,83,84,25,9,5,9,20,421,6,33,8,3,9,1,23,2,4,47,7,1,137,1,60,18,2,1,2,14,10,1,36,12,3,0,57,0,28,82,9,156,9,15,0,1,2,0,2,0,1
y,n,y,y,n,10,0,30,12,14,3,1,32,3,28,13,80,21,1,13,22,45,14,12,12,14,21,204,5,31,5,0,3,3,3,1,1,25,0,2,57,1,52,28,1,3,2,9,23,0,10,3,1,0,8,0,10,49,6,61,3,7,1,0,4,3,1,0,1
y,n,y,n,y,14,1,122,11,59,3,4,81,5,63,36,138,45,4,0,63,130,24,26,17,3,39,534,5,67,13,5,10,3,15,1,8,65,5,1,146,4,81,45,4,13,4,31,33,2,45,10,2,1,24,0,17,88,18,140,2,34,10,4,11,1,2,0,0
y,n,y,n,y,19,1,68,10,37,0,2,86,6,34,23,120,36,3,12,65,79,24,17,7,8,50,408,3,53,4,17,2,8,12,6,4,38,7,3,124,9,79,43,2,4,9,16,39,2,34,24,6,1,24,2,18,86,11,101,1,17,1,2,4,0,5,0,1
n,n,y,n,n,27,4,74,5,28,0,2,70,2,24,20,138,35,3,8,50,57,37,16,8,9,45,442,3,51,8,9,8,1,11,3,4,68,4,2,138,2,97,42,7,4,2,16,34,1,32,9,0,0,23,0,14,95,8,125,2,25,11,2,9,2,1,1,0
n,n,n,y,y,4,1,54,7,34,2,2,42,1,30,12,66,33,1,6,36,73,12,7,3,4,25,245,0,30,7,6,7,2,4,5,4,27,2,2,69,2,28,16,2,1,7,4,9,4,29,16,1,1,17,1,9,36,10,58,4,24,0,1,3,0,10,0,2
y,y,n,y,y,2,0,60,10,24,0,7,70,0,35,12,96,65,14,7,35,78,8,10,7,2,51,318,3,30,14,5,11,2,1,2,1,32,1,0,102,15,47,27,0,4,3,10,13,0,24,8,3,0,58,0,7,32,23,99,4,57,1,6,4,3,4,3,2
y,y,y,y,n,15,0,61,2,24,1,2,60,0,34,10,85,21,3,19,39,64,22,14,6,10,46,280,1,25,11,11,9,0,7,4,0,19,2,1,79,2,53,32,1,3,3,12,21,2,29,10,0,1,9,2,13,60,9,72,0,7,0,1,8,1,4,0,2
y,y,y,y,y,8,0,66,17,34,0,0,67,3,23,20,87,22,1,12,53,70,17,10,5,4,53,320,6,43,7,1,4,8,5,5,7,24,6,4,91,3,55,28,0,1,7,8,21,17,28,18,0,0,18,0,10,64,10,86,11,13,2,0,5,0,2,0,0
n,n,n,n,n,29,3,108,2,41,0,4,94,1,36,30,146,69,11,1,72,89,28,19,16,14,52,544,0,55,11,4,22,0,10,1,6,64,5,2,158,7,97,23,5,1,6,19,11,2,46,12,0,2,38,2,25,85,13,181,2,28,3,0,10,2,3,0,2
n,y,n,n,n,30,2,82,13,46,0,4,120,7,43,40,173,58,6,17,95,105,28,18,7,11,52,517,2,83,13,7,18,9,10,14,10,40,8,5,160,5,92,56,1,2,8,15,43,5,32,31,3,0,28,3,15,137,16,148,8,18,2,1,5,3,4,0,0
n,y,y,n,n,26,3,100,11,57,3,5,120,7,56,47,190,61,3,21,78,115,33,17,10,16,98,570,2,73,16,11,8,16,13,9,5,82,5,2,202,4,105,68,3,15,13,28,53,5,40,29,6,0,29,9,30,122,16,159,0,34,18,5,8,1,5,0,2
n,n,y,y,n,8,0,44,4,22,1,1,30,0,20,15,65,17,1,0,20,51,15,11,6,7,28,213,1,29,4,4,8,0,6,1,3,38,3,1,68,4,39,14,3,1,0,9,10,5,14,4,1,0,12,0,7,48,8,70,1,3,5,1,3,1,1,0,0
y,n,y,n,n,3,0,12,3,2,0,2,18,1,6,9,32,15,1,2,15,9,9,4,3,2,4,97,0,10,4,4,4,1,3,4,1,13,0,1,31,0,19,8,6,0,0,2,4,1,6,4,1,0,6,0,4,24,1,35,2,4,0,0,0,0,0,0,0
n,n,n,n,y,23,2,77,5,17,0,0,71,1,17,25,97,41,13,6,33,37,24,24,8,6,62,389,3,40,3,3,12,2,3,1,3,40,2,3,111,1,63,18,2,0,4,14,16,5,37,7,0,0,31,1,7,73,2,132,2,10,18,0,6,1,0,2,1
n,n,y,n,y,9,0,59,14,39,10,0,51,1,34,18,68,49,7,0,34,74,18,7,5,7,28,301,1,36,3,5,10,1,1,3,8,22,3,1,73,6,48,18,1,6,0,6,15,3,31,9,1,0,25,0,14,35,7,90,2,19,4,0,4,0,8,0,0
n,n,y,y,y,18,0,45,3,18,2,1,37,5,20,10,66,13,0,4,33,47,14,5,4,3,10,204,0,29,1,0,2,0,11,3,4,24,0,1,61,2,41,13,2,1,1,9,13,1,11,4,0,0,6,1,1,52,8,53,1,6,0,0,2,0,2,0,0
